,rank,city,country,pop,date,url,mayor,lat,long,party,mayorname,ctry,yr,party_eu,rile,gender
1,1,Berlin,Germany,3677472,31-Dec-21,https://en.wikipedia.org/wiki/Berlin,Franziska Giffey (SPD),52°31′12″N,13°24′18″E,SPD,Franziska Giffey ,DE,2021,S&D,-24.673,F
2,2,Madrid,Spain,3305408,1-Jan-21,https://en.wikipedia.org/wiki/Madrid,José Luis Martínez-Almeida (PP),40°25′01″N,03°42′12″W,PP,José Luis Martínez-Almeida ,ES,2021,EPP,6.063,M
3,3,Rome,Italy,2761632,1-Jan-22,https://en.wikipedia.org/wiki/Rome,Roberto Gualtieri (PD),41°53′36″N,12°28′58″E,PD,Roberto Gualtieri ,IT,2022,S&D,-8.275,M
4,4,Paris,France,2139907,1-Jan-22,https://en.wikipedia.org/wiki/Paris,Anne Hidalgo[1] (PS),48°51′24″N,2°21′8″E,PS,Anne Hidalgo ,FR,2022,S&D,-28.947,F
5,5,Vienna,Austria,1982442,1-Jan-23,https://en.wikipedia.org/wiki/Vienna,Michael Ludwig (SPÖ),48°12′N,16°22′E,SPÖ,Michael Ludwig ,AT,2023,S&D,-39.424,M
6,6,Warsaw,Poland,1863056,31-Dec-21,https://en.wikipedia.org/wiki/Warsaw,Rafał Trzaskowski (PO),52°13′48″N,21°00′40″E,PO,Rafał Trzaskowski ,PL,2021,EPP,-17.282,M
7,7,Hamburg,Germany,1853935,31-Dec-21,https://en.wikipedia.org/wiki/Hamburg,Peter Tschentscher (SPD),53°33′N,10°00′E,SPD,Peter Tschentscher ,DE,2021,S&D,-24.673,M
8,8,Bucharest,Romania,1716983,1-Dec-21,https://en.wikipedia.org/wiki/Bucharest,Nicușor Dan (Ind.),44°25′57″N,26°6′14″E,Ind.,Nicușor Dan ,RO,2021,NI,NA,M
9,9,Budapest,Hungary,1706851,1-Jan-22,https://en.wikipedia.org/wiki/Budapest,Gergely Karácsony (Dialogue),47°29′33″N,19°03′05″E,Dialogue,Gergely Karácsony ,HU,2022,Greens/EFA,-36.05,M
10,10,Barcelona,Spain,1636732,1-Jan-21,https://en.wikipedia.org/wiki/Barcelona,Ada Colau Ballano[1] (Barcelona en Comú),41°23′N,2°11′E,Barcelona en Comú,Ada Colau Ballano ,ES,2021,Greens/EFA,-16.879,F
